ZION WILLIAMSON SILVER PRIZM ROOKIE SGC 9 MINT = BGS 9.5  PSA 10,$860.00,US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-SGC-9-MINT-BGS-9-5-PSA-10/313171145232?hash=item48ea747210:g:esoAAOSwyKJfKK-Y
ZION WILLIAMSON SILVER PRIZM ROOKIE BGS 9 CLEAN .5 AWAY GEM MINT 9.5,$979.00,US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-BGS-9-CLEAN-5-AWAY-GEM-MINT-9-5/114339435401?hash=item1a9f295389:g:ymsAAOSwHNVfIjFQ
Prizm Zion Williamson Silver Rookie RC #248 BGS 9.5 TRUE GEM MINT D4,"$2,077.00",US,https://www.ebay.com/itm/2019-20-Prizm-Zion-Williamson-Silver-Rookie-RC-248-BGS-9-5-TRUE-GEM-MINT-D4/373137848735?hash=item56e0bfb99f:g:IpYAAOSwqV1fKh1J
PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM PSA 10?,,,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/254682398416?hash=item3b4c40fed0:g:a9MAAOSwzaJfMDxR
Panini Prizm Zion Williamson SILVER 248 BGS 9.5 Gem Mint Rookie Card RC,"$2,000.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Zion-Williamson-SILVER-248-BGS-9-5-Gem-Mint-Rookie-Card-RC/353164910633?hash=item523a44e029:g:uCYAAOSw94JfKMV5
Panini Prizm Silver Zion Williamson #248 BGS 9.5 Rookie RC Gem Mint,"$2,550.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Silver-Zion-Williamson-248-BGS-9-5-Rookie-RC-Gem-Mint/233662680847?hash=item3667618f0f:g:ePUAAOSwp0hfH25n
PRIZM - ZION WILLIAMSON - ROOKIE - SILVER #248 - GEM MINT BGS 9.5,"$2,802.00",US,https://www.ebay.com/itm/2019-20-PRIZM-ZION-WILLIAMSON-ROOKIE-SILVER-248-GEM-MINT-BGS-9-5/133483747637?hash=item1f14405935:g:YksAAOSw6V1fKId-
Panini Optic Zion Williamson Rated Rookie Holo Silver Prizm BGS 9 w2 9.5,,,https://www.ebay.com/itm/19-20-Panini-Optic-Zion-Williamson-Rated-Rookie-Holo-Silver-Prizm-BGS-9-w-2-9-5/392892715100?hash=item5b7a3b105c:g:W20AAOSwQtZfJEwi
Silver Prizm #248 Zion Williamson RC Rookie PSA 9 MINT PSA10 BGS 9.5 Resub?,,,https://www.ebay.com/itm/2019-Silver-Prizm-248-Zion-Williamson-RC-Rookie-PSA-9-MINT-PSA10-BGS-9-5-Resub/224108218360?hash=item342de407f8:g:sBoAAOSwv0pfLGwI
"Zion Williamson Prizm Silver Rookie BGS 9.5 NBA Future Star , Invest Now",,,https://www.ebay.com/itm/2019-Zion-Williamson-Prizm-Silver-Rookie-BGS-9-5-NBA-Future-Star-Invest-Now/224103924884?hash=item342da28494:g:qREAAOSwGm5fJ4gu
Panini Prizm Silver Zion Williamson ROOKIE RC BGS 9.5 GEM MT PSA 10? Invest,"$1,925.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Silver-Zion-Williamson-ROOKIE-RC-BGS-9-5-GEM-MT-PSA-10-Invest/402345676653?hash=item5dadabcf6d:g:~D8AAOSwdQpfJJfV
PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM PSA 10?,"$2,300.00",US,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/274447627450?hash=item3fe65a74ba:g:5FcAAOSwcT5fJ0~d
Panini Prizm Silver #248 Zion Williamson RC Rookie Gem Mint BGS 9.5,"$1,925.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Silver-248-Zion-Williamson-RC-Rookie-Gem-Mint-BGS-9-5/174373258402?hash=item289974c4a2:g:DuAAAOSwN7FfJIn4
Panini Prizm ZION WILLIAMSON RC #248 Silver Prizm BGS 9.5 Gem Mint PSA?,,,https://www.ebay.com/itm/2019-20-Panini-Prizm-ZION-WILLIAMSON-RC-248-Silver-Prizm-BGS-9-5-Gem-Mint-PSA/303578618776?hash=item46aeb21b98:g:5X0AAOSwXK9euj9f
Panini Prizm Zion Williamson SILVER 248 BGS 9.5 Gem Mint Rookie Card RC,"$2,050.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Zion-Williamson-SILVER-248-BGS-9-5-Gem-Mint-Rookie-Card-RC/353159769529?hash=item5239f66db9:g:uCYAAOSw94JfKMV5
Panini Prizm SILVER Prizms ZION WILLIAMSON ROOKIE BGS 9.5 GEM MINT SILVER!!,"$2,145.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-SILVER-Prizms-ZION-WILLIAMSON-ROOKIE-BGS-9-5-GEM-MINT-SILVER/274444547957?hash=item3fe62b7775:g:CtcAAOSwoOZfI23r
Prizm DP Silver #1 Zion Williamson RC  BGS GEM MINT 9.5  #0011863171,,,https://www.ebay.com/itm/2019-20-Prizm-DP-Silver-1-Zion-Williamson-RC-BGS-GEM-MINT-9-5-0011863171/313073061281?hash=item48e49bcda1:g:JMYAAOSw1N1esJ5r
Panini Prizm Base And Silver #248 Zion Williamson RC Rookie BGS 9.5 2X Lot,,,https://www.ebay.com/itm/2019-Panini-Prizm-Base-And-Silver-248-Zion-Williamson-RC-Rookie-BGS-9-5-2X-Lot/143673167474?hash=item2173968e72:g:FeEAAOSwhHVfKLm~
Silver Prizm #248 Zion Williamson RC Rookie PSA 9 MINT PSA10 BGS 9.5 Resub?,,,https://www.ebay.com/itm/2019-Silver-Prizm-248-Zion-Williamson-RC-Rookie-PSA-9-MINT-PSA10-BGS-9-5-Resub/274448597278?hash=item3fe669411e:g:wr4AAOSwRlBfKDJm
Panini Optic Zion Williamson Rated Rookie Holo Silver Prizm BGS 9.5,,,https://www.ebay.com/itm/19-20-Panini-Optic-Zion-Williamson-Rated-Rookie-Holo-Silver-Prizm-BGS-9-5/133481758369?hash=item1f1421fea1:g:ZOEAAOSwFJ1fJfnQ
Panini Silver Prizm #248 Zion Williamson RC Rookie BGS 9.5 GEM MINT,"$2,075.00",US,https://www.ebay.com/itm/2019-20-Panini-Silver-Prizm-248-Zion-Williamson-RC-Rookie-BGS-9-5-GEM-MINT/363059618903?hash=item54880a2457:g:ucMAAOSwGpxfHx8M
ZION WILLIAMSON PANINI PRIZM 1 RC LUCK LOTTERY SILVER PRIZMS BGS 9.5 GEM,$107.50,US,https://www.ebay.com/itm/ZION-WILLIAMSON-2019-20-PANINI-PRIZM-1-RC-LUCK-LOTTERY-SILVER-PRIZMS-BGS-9-5-GEM/353152458360?hash=item523986de78:g:1OcAAOSwrMdfH38o
ZION WILLIAMSON SILVER PRIZM ROOKIE BGS 9 CLEAN .5 AWAY GEM MINT 9.5,"$1,100.00",US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-BGS-9-CLEAN-5-AWAY-GEM-MINT-9-5/114329275528?hash=item1a9e8e4c88:g:ymsAAOSwHNVfIjFQ
Panini Prizm Silver Zion Williamson Rookie BGS Quad 9.5s  #248 Pelicans,,,https://www.ebay.com/itm/2019-20-Panini-Prizm-Silver-Zion-Williamson-Rookie-BGS-Quad-9-5s-248-Pelicans/124289933448?hash=item1cf041e088:g:Z74AAOSwvi9fLbrp
PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM+ PSA 10?,"$2,225.00",US,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/224111056310?hash=item342e0f55b6:g:IvIAAOSwT69fKEkF
Panini Silver Prizm #248 Zion Williamson RC Rookie BGS 9.5 GEM MINT,"$2,225.00",US,https://www.ebay.com/itm/2019-20-Panini-Silver-Prizm-248-Zion-Williamson-RC-Rookie-BGS-9-5-GEM-MINT/383663186975?hash=item59541ba41f:g:7HQAAOSwj61fKF~k
Zion Williamson Optic Silver Holo Panini Prizm Rookie BGS 9.5 MINT PSA 10?,$910.00,US,https://www.ebay.com/itm/Zion-Williamson-19-20-Optic-Silver-Holo-Panini-Prizm-Rookie-BGS-9-5-MINT-PSA-10/402345689958?hash=item5dadac0366:g:FxEAAOSwVe5fJJ20
ZION WILLIAMSON SILVER PRIZM ROOKIE SGC 9 MINT = BGS 9.5  PSA 10,$860.00,US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-SGC-9-MINT-BGS-9-5-PSA-10/313171145232?hash=item48ea747210:g:esoAAOSwyKJfKK-Y
ZION WILLIAMSON SILVER PRIZM ROOKIE BGS 9 CLEAN .5 AWAY GEM MINT 9.5,$979.00,US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-BGS-9-CLEAN-5-AWAY-GEM-MINT-9-5/114339435401?hash=item1a9f295389:g:ymsAAOSwHNVfIjFQ
Prizm Zion Williamson Silver Rookie RC #248 BGS 9.5 TRUE GEM MINT D4,"$2,077.00",US,https://www.ebay.com/itm/2019-20-Prizm-Zion-Williamson-Silver-Rookie-RC-248-BGS-9-5-TRUE-GEM-MINT-D4/373137848735?hash=item56e0bfb99f:g:IpYAAOSwqV1fKh1J
PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM PSA 10?,,,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/254682398416?hash=item3b4c40fed0:g:a9MAAOSwzaJfMDxR
Panini Prizm Zion Williamson SILVER 248 BGS 9.5 Gem Mint Rookie Card RC,"$2,000.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Zion-Williamson-SILVER-248-BGS-9-5-Gem-Mint-Rookie-Card-RC/353164910633?hash=item523a44e029:g:uCYAAOSw94JfKMV5
Panini Prizm Silver Zion Williamson #248 BGS 9.5 Rookie RC Gem Mint,"$2,550.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Silver-Zion-Williamson-248-BGS-9-5-Rookie-RC-Gem-Mint/233662680847?hash=item3667618f0f:g:ePUAAOSwp0hfH25n
PRIZM - ZION WILLIAMSON - ROOKIE - SILVER #248 - GEM MINT BGS 9.5,"$2,802.00",US,https://www.ebay.com/itm/2019-20-PRIZM-ZION-WILLIAMSON-ROOKIE-SILVER-248-GEM-MINT-BGS-9-5/133483747637?hash=item1f14405935:g:YksAAOSw6V1fKId-
Panini Optic Zion Williamson Rated Rookie Holo Silver Prizm BGS 9 w2 9.5,,,https://www.ebay.com/itm/19-20-Panini-Optic-Zion-Williamson-Rated-Rookie-Holo-Silver-Prizm-BGS-9-w-2-9-5/392892715100?hash=item5b7a3b105c:g:W20AAOSwQtZfJEwi
Silver Prizm #248 Zion Williamson RC Rookie PSA 9 MINT PSA10 BGS 9.5 Resub?,,,https://www.ebay.com/itm/2019-Silver-Prizm-248-Zion-Williamson-RC-Rookie-PSA-9-MINT-PSA10-BGS-9-5-Resub/224108218360?hash=item342de407f8:g:sBoAAOSwv0pfLGwI
"Zion Williamson Prizm Silver Rookie BGS 9.5 NBA Future Star , Invest Now",,,https://www.ebay.com/itm/2019-Zion-Williamson-Prizm-Silver-Rookie-BGS-9-5-NBA-Future-Star-Invest-Now/224103924884?hash=item342da28494:g:qREAAOSwGm5fJ4gu
Panini Prizm Silver Zion Williamson ROOKIE RC BGS 9.5 GEM MT PSA 10? Invest,"$1,925.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Silver-Zion-Williamson-ROOKIE-RC-BGS-9-5-GEM-MT-PSA-10-Invest/402345676653?hash=item5dadabcf6d:g:~D8AAOSwdQpfJJfV
Panini Prizm Silver Zion Williamson Rookie BGS Quad 9.5s  #248 Pelicans,,,https://www.ebay.com/itm/2019-20-Panini-Prizm-Silver-Zion-Williamson-Rookie-BGS-Quad-9-5s-248-Pelicans/124289933448?hash=item1cf041e088:g:Z74AAOSwvi9fLbrp
PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM+ PSA 10?,"$2,225.00",US,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/224111056310?hash=item342e0f55b6:g:IvIAAOSwT69fKEkF
Panini Silver Prizm #248 Zion Williamson RC Rookie BGS 9.5 GEM MINT,"$2,225.00",US,https://www.ebay.com/itm/2019-20-Panini-Silver-Prizm-248-Zion-Williamson-RC-Rookie-BGS-9-5-GEM-MINT/383663186975?hash=item59541ba41f:g:7HQAAOSwj61fKF~k
Zion Williamson Optic Silver Holo Panini Prizm Rookie BGS 9.5 MINT PSA 10?,$910.00,US,https://www.ebay.com/itm/Zion-Williamson-19-20-Optic-Silver-Holo-Panini-Prizm-Rookie-BGS-9-5-MINT-PSA-10/402345689958?hash=item5dadac0366:g:FxEAAOSwVe5fJJ20
ZION WILLIAMSON SILVER PRIZM ROOKIE SGC 9 MINT = BGS 9.5  PSA 10,$860.00,US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-SGC-9-MINT-BGS-9-5-PSA-10/313171145232?hash=item48ea747210:g:esoAAOSwyKJfKK-Y
ZION WILLIAMSON SILVER PRIZM ROOKIE BGS 9 CLEAN .5 AWAY GEM MINT 9.5,$979.00,US,https://www.ebay.com/itm/2019-20-ZION-WILLIAMSON-SILVER-PRIZM-ROOKIE-BGS-9-CLEAN-5-AWAY-GEM-MINT-9-5/114339435401?hash=item1a9f295389:g:ymsAAOSwHNVfIjFQ
Prizm Zion Williamson Silver Rookie RC #248 BGS 9.5 TRUE GEM MINT D4,"$2,077.00",US,https://www.ebay.com/itm/2019-20-Prizm-Zion-Williamson-Silver-Rookie-RC-248-BGS-9-5-TRUE-GEM-MINT-D4/373137848735?hash=item56e0bfb99f:g:IpYAAOSwqV1fKh1J
PANINI PRIZM ZION WILLIAMSON SILVER PRIZM BGS 9.5 TRUE GEM PSA 10?,,,https://www.ebay.com/itm/2019-20-PANINI-PRIZM-ZION-WILLIAMSON-SILVER-PRIZM-BGS-9-5-TRUE-GEM-PSA-10/254682398416?hash=item3b4c40fed0:g:a9MAAOSwzaJfMDxR
Panini Prizm Zion Williamson SILVER 248 BGS 9.5 Gem Mint Rookie Card RC,"$2,000.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Zion-Williamson-SILVER-248-BGS-9-5-Gem-Mint-Rookie-Card-RC/353164910633?hash=item523a44e029:g:uCYAAOSw94JfKMV5
Panini Prizm Silver Zion Williamson #248 BGS 9.5 Rookie RC Gem Mint,"$2,550.00",US,https://www.ebay.com/itm/2019-20-Panini-Prizm-Silver-Zion-Williamson-248-BGS-9-5-Rookie-RC-Gem-Mint/233662680847?hash=item3667618f0f:g:ePUAAOSwp0hfH25n
PRIZM - ZION WILLIAMSON - ROOKIE - SILVER #248 - GEM MINT BGS 9.5,"$2,802.00",US,https://www.ebay.com/itm/2019-20-PRIZM-ZION-WILLIAMSON-ROOKIE-SILVER-248-GEM-MINT-BGS-9-5/133483747637?hash=item1f14405935:g:YksAAOSw6V1fKId-
Panini Optic Zion Williamson Rated Rookie Holo Silver Prizm BGS 9 w2 9.5,,,https://www.ebay.com/itm/19-20-Panini-Optic-Zion-Williamson-Rated-Rookie-Holo-Silver-Prizm-BGS-9-w-2-9-5/392892715100?hash=item5b7a3b105c:g:W20AAOSwQtZfJEwi
Silver Prizm #248 Zion Williamson RC Rookie PSA 9 MINT PSA10 BGS 9.5 Resub?,,,https://www.ebay.com/itm/2019-Silver-Prizm-248-Zion-Williamson-RC-Rookie-PSA-9-MINT-PSA10-BGS-9-5-Resub/224108218360?hash=item342de407f8:g:sBoAAOSwv0pfLGwI
"Zion Williamson Prizm Silver Rookie BGS 9.5 NBA Future Star , Invest Now",,,https://www.ebay.com/itm/2019-Zion-Williamson-Prizm-Silver-Rookie-BGS-9-5-NBA-Future-Star-Invest-Now/224103924884?hash=item342da28494:g:qREAAOSwGm5fJ4gu
Panini Prizm Silver Zion Williamson ROOKIE RC BGS 9.5 GEM MT PSA 10? Invest,"$1,925.00",US,https://www.ebay.com/itm/2019-Panini-Prizm-Silver-Zion-Williamson-ROOKIE-RC-BGS-9-5-GEM-MT-PSA-10-Invest/402345676653?hash=item5dadabcf6d:g:~D8AAOSwdQpfJJfV
